parent,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
LS-AZ058,http://www.homedepot.com/p/ANZZI-Forte-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Red-and-Black-LS-AZ058/206730353,$149.00,https://www.wayfair.com/show_detail.php?sku=ANZI1064,$149.00,http://www.menards.com/main/p-1482823193490.html,$149.00,,,http://www.houzz.com/viewSpace/78600259/lid=61452773,$110.37
LS-AZ058,http://www.homedepot.com/p/ANZZI-Forte-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Red-and-Black-LS-AZ058/206730353,$149.00,https://www.wayfair.com/show_detail.php?sku=ANZI1064,$149.00,http://www.menards.com/main/p-1482823193490.html,$149.00,,,http://www.houzz.com/viewSpace/78600259/lid=61452773,$110.37
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ043,http://www.homedepot.com/p/ANZZI-Bravo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Black-LS-AZ043/206730338,$156.00,https://www.wayfair.com/show_detail.php?sku=ANZI1107,$156.00,http://www.menards.com/main/p-1482823193503.html,$156.00,,,http://www.houzz.com/viewSpace/78600262/lid=61452775,$115.56
LS-AZ044,http://www.homedepot.com/p/ANZZI-Harmony-Series-Deco-Glass-Vessel-Sink-in-Cloud-Blue-LS-AZ044/206730339,$93.00,https://www.wayfair.com/show_detail.php?sku=ANZI1109,$93.00,http://www.menards.com/main/p-1482823193497.html,$93.00,,,http://www.houzz.com/viewSpace/78600303/lid=61452799,$68.89
LS-AZ044,http://www.homedepot.com/p/ANZZI-Harmony-Series-Deco-Glass-Vessel-Sink-in-Cloud-Blue-LS-AZ044/206730339,$93.00,https://www.wayfair.com/show_detail.php?sku=ANZI1109,$93.00,http://www.menards.com/main/p-1482823193497.html,$93.00,,,http://www.houzz.com/viewSpace/78600303/lid=61452799,$68.89
LS-AZ044,http://www.homedepot.com/p/ANZZI-Harmony-Series-Deco-Glass-Vessel-Sink-in-Cloud-Blue-LS-AZ044/206730339,$93.00,https://www.wayfair.com/show_detail.php?sku=ANZI1109,$93.00,http://www.menards.com/main/p-1482823193497.html,$93.00,,,http://www.houzz.com/viewSpace/78600303/lid=61452799,$68.89
LS-AZ044,http://www.homedepot.com/p/ANZZI-Harmony-Series-Deco-Glass-Vessel-Sink-in-Cloud-Blue-LS-AZ044/206730339,$93.00,https://www.wayfair.com/show_detail.php?sku=ANZI1109,$93.00,http://www.menards.com/main/p-1482823193497.html,$93.00,,,http://www.houzz.com/viewSpace/78600303/lid=61452799,$68.89
LS-AZ044,http://www.homedepot.com/p/ANZZI-Harmony-Series-Deco-Glass-Vessel-Sink-in-Cloud-Blue-LS-AZ044/206730339,$93.00,https://www.wayfair.com/show_detail.php?sku=ANZI1109,$93.00,http://www.menards.com/main/p-1482823193497.html,$93.00,,,http://www.houzz.com/viewSpace/78600303/lid=61452799,$68.89
