sku,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
LSAZ052-097,http://www.homedepot.com/p/Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Key-Faucet-in-Polished-Chrome-LSAZ052-097/206951558,$224.00,https://www.wayfair.com/show_detail.php?sku=ANZI1350,$224.00,http://www.menards.com/main/p-1482823193664.html,$224.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Key-Polished-Chrome-Faucet/13777464/product.html?keywords=20430013&searchtype=Header,$224.00,http://www.houzz.com/viewSpace/78602921/lid=61454758,$165.93
LSAZ059-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560144/lid=62182345,$154.81
LSAZ059-097,http://www.homedepot.com/p/ANZZI-Ritmo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Red-with-Key-Faucet-in-Polished-Chrome-LSAZ059-097/206951744,$209.00,https://www.wayfair.com/show_detail.php?sku=ANZI1656,$209.00,http://www.menards.com/main/p-1482823193724.html,$209.00,https://www.overstock.com/Home-Garden/ANZZI-Ritmo-Series-Lustrous-Translucent-Red-Deco-Glass-Vessel-Sink-with-Key-Polished-Chrome-Faucet/13777901/product.html?keywords=20430393&searchtype=Header,$209.00,http://www.houzz.com/viewSpace/78601370/lid=61453673,$154.81
LSAZ060-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560181/lid=62182378,$154.81
LSAZ060-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560193/lid=62182390,$162.22
LSAZ085-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560903/lid=62183139,$137.78
LSAZ085-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560930/lid=62183171,$137.78
LSAZ607-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561164/lid=62183402,$250.37
LSAZ060-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560212/lid=62182409,$154.81
LSAZ060-096B,http://www.homedepot.com/p/ANZZI-Schnell-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Red-and-Black-with-Enti-Faucet-in-Brushed-Nickel-LSAZ060-096B/206951516,$219.00,https://www.wayfair.com/show_detail.php?sku=ANZI1659,$219.00,http://www.menards.com/main/p-1482823193686.html,$219.00,https://www.overstock.com/Home-Garden/ANZZI-Schnell-Series-Lustrous-Red-and-Black-Deco-Glass-Vessel-Sink-with-Enti-Brushed-Nickel-Faucet/13777665/product.html?keywords=20430319&searchtype=Header,$219.00,http://www.houzz.com/viewSpace/78602515/lid=61454467,$162.22
LSAZ065-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560286/lid=62182476,$151.11
LSAZ065-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560319/lid=62182513,$151.11
LSAZ065-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560342/lid=62182538,$154.81
LSAZ066-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560359/lid=62182559,$143.70
LSAZ066-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560375/lid=62182580,$143.70
LSAZ074-096,http://www.homedepot.com/p/ANZZI-Cadenza-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Clear-with-Enti-Faucet-in-Chrome-LSAZ074-096/206951690,$206.00,https://www.wayfair.com/show_detail.php?sku=ANZI1047,$206.00,http://www.menards.com/main/p-1482823193809.html,$206.00,https://www.overstock.com/Home-Garden/ANZZI-Cadenza-Series-Lustrous-Clear-Deco-Glass-Vessel-Sink-with-Enti-Chrome-Faucet/13750441/product.html?keywords=20406898&searchtype=Header,$206.00,http://www.houzz.com/viewSpace/78602693/lid=61454596,$152.59
LSAZ066-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560422/lid=62182633,$157.04
